20141001 021800;109.825000;109.835000;109.820000;109.835000;0
20141001 021900;109.834000;109.835000;109.826000;109.832000;0
20141001 022000;109.833000;109.836000;109.828000;109.835000;0
20141001 022100;109.834000;109.837000;109.834000;109.836000;0
20141001 022200;109.835000;109.836000;109.819000;109.836000;0
20141001 022300;109.833000;109.833000;109.818000;109.822000;0
20141001 022400;109.821000;109.821000;109.815000;109.815000;0
20141001 022500;109.816000;109.816000;109.809000;109.809000;0
20141001 022600;109.810000;109.816000;109.810000;109.816000;0
20141001 022700;109.817000;109.823000;109.817000;109.822000;0
20141001 022800;109.823000;109.835000;109.811000;109.811000;0
20141001 022900;109.812000;109.815000;109.803000;109.813000;0
20141001 023000;109.812000;109.812000;109.807000;109.809000;0
20141001 023100;109.808000;109.824000;109.808000;109.822000;0
20141001 023200;109.821000;109.821000;109.793000;109.796000;0
20141001 023300;109.795000;109.796000;109.767000;109.770000;0
20141001 023400;109.772000;109.783000;109.767000;109.777000;0
20141001 023500;109.779000;109.794000;109.776000;109.779000;0
20141001 023600;109.777000;109.777000;109.763000;109.763000;0
20141001 023700;109.764000;109.766000;109.745000;109.747000;0
20141001 023800;109.748000;109.760000;109.748000;109.754000;0
20141001 023900;109.756000;109.762000;109.755000;109.755000;0
20141001 024000;109.757000;109.763000;109.750000;109.762000;0
20141001 024100;109.764000;109.781000;109.764000;109.781000;0
20141001 024200;109.780000;109.797000;109.779000;109.797000;0
20141001 024300;109.796000;109.813000;109.790000;109.809000;0
20141001 024400;109.808000;109.808000;109.792000;109.800000;0
20141001 024500;109.799000;109.799000;109.768000;109.785000;0
20141001 024600;109.786000;109.791000;109.766000;109.767000;0
20141001 024700;109.770000;109.774000;109.757000;109.759000;0
20141001 024800;109.761000;109.793000;109.761000;109.791000;0
20141001 024900;109.792000;109.804000;109.788000;109.804000;0
20141001 025000;109.803000;109.806000;109.800000;109.804000;0
20141001 025100;109.805000;109.814000;109.803000;109.804000;0
20141001 025200;109.803000;109.803000;109.793000;109.793000;0
20141001 025300;109.794000;109.810000;109.794000;109.808000;0
20141001 025400;109.804000;109.804000;109.785000;109.785000;0
20141001 025500;109.784000;109.791000;109.776000;109.788000;0
20141001 025600;109.787000;109.790000;109.779000;109.779000;0
20141001 025700;109.778000;109.790000;109.778000;109.790000;0
20141001 025800;109.789000;109.789000;109.777000;109.785000;0
20141001 025900;109.784000;109.814000;109.784000;109.814000;0
20141001 030000;109.813000;109.813000;109.806000;109.810000;0
20141001 030100;109.809000;109.817000;109.807000;109.812000;0
20141001 030200;109.811000;109.811000;109.807000;109.811000;0
20141001 030300;109.812000;109.812000;109.790000;109.795000;0
20141001 030400;109.796000;109.798000;109.794000;109.795000;0
20141001 030500;109.796000;109.798000;109.788000;109.797000;0
20141001 030600;109.798000;109.798000;109.789000;109.789000;0
20141001 030700;109.787000;109.794000;109.778000;109.791000;0
20141001 030800;109.790000;109.790000;109.766000;109.769000;0
20141001 030900;109.770000;109.773000;109.759000;109.771000;0
20141001 031000;109.772000;109.772000;109.769000;109.769000;0
20141001 031100;109.770000;109.777000;109.768000;109.773000;0
20141001 031200;109.774000;109.797000;109.773000;109.797000;0
20141001 031300;109.798000;109.799000;109.790000;109.790000;0
20141001 031400;109.788000;109.795000;109.781000;109.781000;0
20141001 031500;109.783000;109.806000;109.783000;109.797000;0
20141001 031600;109.800000;109.821000;109.800000;109.820000;0
20141001 031700;109.819000;109.825000;109.814000;109.825000;0
20141001 031800;109.826000;109.833000;109.805000;109.816000;0
20141001 031900;109.815000;109.826000;109.813000;109.824000;0
20141001 032000;109.822000;109.826000;109.813000;109.819000;0
20141001 032100;109.820000;109.835000;109.818000;109.819000;0
20141001 032200;109.817000;109.833000;109.816000;109.831000;0
20141001 032300;109.832000;109.843000;109.825000;109.829000;0
